state,year,population
California,2017,38982847.0
Colorado,2017,5436519.0
Connecticut,2017,3594478.0
Delaware,2017,943732.0
Florida,2017,20278447.0
Georgia,2017,10201635.0
Hawaii,2017,1421658.0
Idaho,2017,1657375.0
Illinois,2017,12854526.0
Indiana,2017,6614418.0
Iowa,2017,3118102.0
Kansas,2017,2903820.0
Kentucky,2017,4424376.0
Louisiana,2017,4663461.0
Maine,2017,1330158.0
Maryland,2017,5996079.0
Massachusetts,2017,6789319.0
Michigan,2017,9925568.0
Minnesota,2017,5490726.0
Mississippi,2017,2986220.0
Missouri,2017,6075300.0
Montana,2017,1029862.0
Nebraska,2017,1893921.0
Nevada,2017,2887725.0
New Hampshire,2017,1331848.0
New Jersey,2017,8960161.0
New Mexico,2017,2084828.0
New York,2017,19798228.0
North Carolina,2017,10052564.0
North Dakota,2017,745475.0
Ohio,2017,11609756.0
Oklahoma,2017,3896251.0
Oregon,2017,4025127.0
Pennsylvania,2017,12790505.0
Rhode Island,2017,1056138.0
South Carolina,2017,4893444.0
South Dakota,2017,855444.0
Tennessee,2017,6597381.0
Texas,2017,27419612.0
Utah,2017,2993941.0
Vermont,2017,624636.0
Virginia,2017,8365952.0
Washington,2017,7169967.0
West Virginia,2017,1836843.0
Wisconsin,2017,5763217.0
Wyoming,2017,583200.0
District of Columbia,2017,672391.0
Alabama,2018,4864680.0
Alaska,2018,738516.0
Arizona,2018,6946685.0
Arkansas,2018,2990671.0
California,2018,39148760.0
Colorado,2018,5531141.0
Connecticut,2018,3581504.0
Delaware,2018,949495.0
Florida,2018,20598139.0
Georgia,2018,10297484.0
Hawaii,2018,1422029.0
Idaho,2018,1687809.0
Illinois,2018,12821497.0
Indiana,2018,6637426.0
Iowa,2018,3132499.0
Kansas,2018,2908776.0
Kentucky,2018,4440204.0
Louisiana,2018,4663616.0
Maine,2018,1332813.0
Maryland,2018,6003435.0
Massachusetts,2018,6830193.0
Michigan,2018,9957488.0
Minnesota,2018,5527358.0
Mississippi,2018,2988762.0
Missouri,2018,6090062.0
Montana,2018,1041732.0
Nebraska,2018,1904760.0
Nevada,2018,2922849.0
New Hampshire,2018,1343622.0
New Jersey,2018,8881845.0
New Mexico,2018,2092434.0
New York,2018,19618453.0
North Carolina,2018,10155624.0
North Dakota,2018,752201.0
Ohio,2018,11641879.0
Oklahoma,2018,3918137.0
Oregon,2018,4081943.0
Pennsylvania,2018,12791181.0
Rhode Island,2018,1056611.0
South Carolina,2018,4955925.0
South Dakota,2018,864289.0
Tennessee,2018,6651089.0
Texas,2018,27885195.0
Utah,2018,3045350.0
Vermont,2018,624977.0
Virginia,2018,8413774.0
Washington,2018,7294336.0
West Virginia,2018,1829054.0
Wisconsin,2018,5778394.0
Wyoming,2018,581836.0
District of Columbia,2018,684498.0
Alabama,2019,4876250.0
Alaska,2019,737068.0
Arizona,2019,7050299.0
Arkansas,2019,2999370.0
California,2019,39283497.0
Colorado,2019,5610349.0
Connecticut,2019,3575074.0
Delaware,2019,957248.0
Florida,2019,20901636.0
Georgia,2019,10403847.0
Hawaii,2019,1422094.0
Idaho,2019,1717750.0
Illinois,2019,12770631.0
Indiana,2019,6665703.0
Iowa,2019,3139508.0
Kansas,2019,2910652.0
Kentucky,2019,4449052.0
Louisiana,2019,4664362.0
Maine,2019,1335492.0
Maryland,2019,6018848.0
Massachusetts,2019,6850553.0
Michigan,2019,9965265.0
Minnesota,2019,5563378.0
Mississippi,2019,2984418.0
Missouri,2019,6104910.0
Montana,2019,1050649.0
Nebraska,2019,1914571.0
Nevada,2019,2972382.0
New Hampshire,2019,1348124.0
New Jersey,2019,8878503.0
New Mexico,2019,2092454.0
New York,2019,19572319.0
North Carolina,2019,10264876.0
North Dakota,2019,756717.0
Ohio,2019,11655397.0
Oklahoma,2019,3932870.0
Oregon,2019,4129803.0
Pennsylvania,2019,12791530.0
Rhode Island,2019,1057231.0
South Carolina,2019,5020806.0
South Dakota,2019,870638.0
Tennessee,2019,6709356.0
Texas,2019,28260856.0
Utah,2019,3096848.0
Vermont,2019,624313.0
Virginia,2019,8454463.0
Washington,2019,7404107.0
West Virginia,2019,1817305.0
Wisconsin,2019,5790716.0
Wyoming,2019,581024.0
District of Columbia,2019,692683.0
Alabama,2020,4893186.0
Alaska,2020,736990.0
Arizona,2020,7174064.0
Arkansas,2020,3011873.0
California,2020,39346023.0
Colorado,2020,5684926.0
Connecticut,2020,3570549.0
Delaware,2020,967679.0
Florida,2020,21216924.0
Georgia,2020,10516579.0
Hawaii,2020,1420074.0
Idaho,2020,1754367.0
Illinois,2020,12716164.0
Indiana,2020,6696893.0
Iowa,2020,3150011.0
Kansas,2020,2912619.0
Kentucky,2020,4461952.0
Louisiana,2020,4664616.0
Maine,2020,1340825.0
Maryland,2020,6037624.0
Massachusetts,2020,6873003.0
Michigan,2020,9973907.0
Minnesota,2020,5600166.0
Mississippi,2020,2981835.0
Missouri,2020,6124160.0
Montana,2020,1061705.0
Nebraska,2020,1923826.0
Nevada,2020,3030281.0
New Hampshire,2020,1355244.0
New Jersey,2020,8885418.0
New Mexico,2020,2097021.0
New York,2020,19514849.0
North Carolina,2020,10386227.0
North Dakota,2020,760394.0
Ohio,2020,11675275.0
Oklahoma,2020,3949342.0
Oregon,2020,4176346.0
Pennsylvania,2020,12794885.0
Rhode Island,2020,1057798.0
South Carolina,2020,5091517.0
South Dakota,2020,879336.0
Tennessee,2020,6772268.0
Texas,2020,28635442.0
Utah,2020,3151239.0
Vermont,2020,624340.0
Virginia,2020,8509358.0
Washington,2020,7512465.0
West Virginia,2020,1807426.0
Wisconsin,2020,5806975.0
Wyoming,2020,581348.0
District of Columbia,2020,701974.0
Alabama,2021,4997675.0
Alaska,2021,735951.0
Arizona,2021,7079203.0
Arkansas,2021,3006309.0
California,2021,39455353.0
Colorado,2021,5723176.0
Connecticut,2021,3605330.0
Delaware,2021,981892.0
Florida,2021,21339762.0
Georgia,2021,10625615.0
Hawaii,2021,1453498.0
Idaho,2021,1811617.0
Illinois,2021,12821813.0
Indiana,2021,6751340.0
Iowa,2021,3179090.0
Kansas,2021,2932099.0
Kentucky,2021,4494141.0
Louisiana,2021,4657305.0
Maine,2021,1357046.0
Maryland,2021,6148545.0
Massachusetts,2021,6991852.0
Michigan,2021,10062512.0
Minnesota,2021,5670472.0
Mississippi,2021,2967023.0
Missouri,2021,6141534.0
Montana,2021,1077978.0
Nebraska,2021,1951480.0
Nevada,2021,3059238.0
New Hampshire,2021,1372175.0
New Jersey,2021,9234024.0
New Mexico,2021,2109366.0
New York,2021,20114745.0
North Carolina,2021,10367022.0
North Dakota,2021,773344.0
Ohio,2021,11769923.0
Oklahoma,2021,3948136.0
Oregon,2021,4207177.0
Pennsylvania,2021,12970650.0
Rhode Island,2021,1091949.0
South Carolina,2021,5078903.0
South Dakota,2021,881785.0
Tennessee,2021,6859497.0
Texas,2021,28862581.0
Utah,2021,3231370.0
Vermont,2021,641637.0
Virginia,2021,8582479.0
Washington,2021,7617364.0
West Virginia,2021,1801049.0
Wisconsin,2021,5871661.0
Wyoming,2021,576641.0
