state,abbr,recovery_months_predicted,recovery_months_low,recovery_months_high,instability_tier,prob_LOW,prob_MODERATE,prob_HIGH,prob_CRITICAL,drpi_score,drpi_risk_tier,avg_disaster_exposure_12m,avg_damage_per_capita,fiscal_capacity_per_capita,compound_vulnerability_index,cvi_labor,cvi_disaster,cvi_damage,cvi_fiscal,cvi_structure,avg_unemployment_rate,unemployment_volatility_excl_covid,baseline_unemployment,unemployment_shock_magnitude,service_share_pct,industry_share_pct,natres_share_pct,govt_share_pct,economic_profile,profile_benchmark_months,recovery_months
Maryland,MD,15.9,9.5,22.3,LOW,0.483,0.41,0.084,0.023,29.0,MODERATE,14.0667,3.6647,9688.0,0.3472,0.444,0.0969,0.0035,0.7179,0.5922,4.9783,1.8107,3.33,5.27,59.9,13.06,0.34,20.68,Government-Intensive,18.0,19.0
Kansas,KS,13.3,6.9,19.7,LOW,0.587,0.243,0.12,0.05,28.6,MODERATE,56.6167,35.0488,9753.0,0.3244,0.2675,0.4274,0.0603,0.7127,0.4942,4.3711,1.3677,3.12,8.68,56.24,20.65,3.81,12.27,Industry-Intensive,11.5,12.0
Oklahoma,OK,10.9,4.5,17.3,LOW,0.637,0.13,0.145,0.089,28.0,MODERATE,79.5056,73.4032,8839.0,0.3536,0.1586,0.6052,0.1298,0.7855,0.2817,4.3856,1.0944,3.12,8.98,48.3,14.58,11.87,16.01,Resource-Intensive,14.4,17.0
New Hampshire,NH,15.9,9.5,22.3,MODERATE,0.038,0.488,0.306,0.168,25.1,MODERATE,8.5056,10.5983,7328.0,0.3141,0.2836,0.0536,0.0161,0.9058,0.8276,3.8894,1.4081,2.55,13.25,68.69,14.36,0.43,9.7,Service-Dominated,16.2,17.0
Utah,UT,15.3,8.9,21.7,MODERATE,0.233,0.645,0.091,0.031,24.5,LOW,9.0056,9.0338,9472.0,0.3004,0.434,0.0575,0.0132,0.7351,0.6035,3.9544,1.7856,2.49,7.31,60.32,19.87,2.27,10.85,Service-Dominated,16.2,13.0
West Virginia,WV,13.5,7.1,19.9,MODERATE,0.276,0.476,0.177,0.07,24.1,LOW,35.4278,15.8852,10463.0,0.2986,0.3404,0.2628,0.0256,0.6562,0.295,5.9839,1.5507,5.02,10.58,48.8,15.86,13.42,15.51,Resource-Intensive,14.4,13.0
Montana,MT,14.2,7.8,20.6,MODERATE,0.276,0.593,0.087,0.045,23.0,LOW,22.4444,12.1302,9671.0,0.2943,0.3235,0.1619,0.0188,0.7193,0.4843,4.4683,1.5083,3.52,8.28,55.87,13.86,6.96,13.52,Resource-Intensive,14.4,6.0
Nebraska,NE,11.6,5.2,18.0,LOW,0.733,0.158,0.054,0.054,22.2,LOW,50.0722,135.1745,8581.0,0.2987,0.03,0.3766,0.2417,0.8061,0.4661,3.2722,0.7717,3.2,4.8,55.19,17.96,6.09,11.46,Resource-Intensive,14.4,4.0
Alaska,AK,13.5,7.1,19.9,LOW,0.804,0.172,0.013,0.011,14.4,LOW,13.5278,20.1924,14315.0,0.1849,0.2631,0.0927,0.0334,0.3495,0.0252,6.3633,1.3568,5.46,6.34,38.72,9.06,14.77,19.57,Resource-Intensive,14.4,15.0
North Dakota,ND,12.9,6.5,19.3,LOW,0.839,0.126,0.027,0.008,13.9,LOW,34.55,69.5778,14849.0,0.1436,0.0,0.256,0.1229,0.307,0.1783,2.875,0.6964,2.12,6.28,44.44,15.03,22.64,10.46,Resource-Intensive,14.4,16.0
Wyoming,WY,11.2,4.8,17.6,LOW,0.798,0.17,0.014,0.018,4.3,LOW,6.1611,21.8678,13516.0,0.1328,0.2111,0.0354,0.0365,0.4131,0.0,4.6122,1.2262,4.02,0.88,37.78,15.71,18.35,15.43,Resource-Intensive,14.4,15.0
